"Velocity_ft_p_s:0","Velocity_ft_p_s:1","Velocity_ft_p_s:2","Bed_Elev_ft","Water_Depth_ft","Water_Elev_ft","ManningN","h_99_percent","h_90_percent","h_50_percent","h_10_percent","h_1_percent","Points:0","Points:1","Points:2"
-7.8312e-05,-0.00052805,0,954.58,0.098803,951.96,0.06,0.089126,0.09742,0.098782,0.099554,0.1,4.0608e+05,1.8053e+06,954.58
-0.0021983,0.0059296,0,954.59,0.098649,951.84,0.06,0.087313,0.097011,0.098613,0.099499,0.1,4.0608e+05,1.8053e+06,954.59
0,0,0,942.48,0.080321,942.12,0.06,0.040446,0.055797,0.07243,0.087382,0.1,4.0849e+05,1.8053e+06,942.48
0.00024114,0.00033763,0,942.44,0.071234,942.06,0.06,0.029561,0.04078,0.059699,0.081557,0.1,4.0849e+05,1.8053e+06,942.44
0.0010589,0.00058829,0,942.39,0.062594,942.04,0.06,0.0084367,0.02301,0.047594,0.076019,0.1,4.0848e+05,1.8053e+06,942.39
0.0012177,0.00071528,0,942.36,0.071228,942.04,0.06,0.012979,0.035397,0.05969,0.081555,0.1,4.0848e+05,1.8053e+06,942.36
0.00096533,0.00057715,0,943.33,0.011385,942.6,0.055,0,0,0,0.031151,0.1,4.091e+05,1.8053e+06,943.33
-0.027438,0.023978,0,959.26,0.093931,954.15,0.06,0.040866,0.088821,0.094356,0.098027,0.1,4.0558e+05,1.8053e+06,959.26
-0.0078677,0.0095925,0,953.68,0.093822,947.96,0.06,0.057161,0.08977,0.093834,0.097478,0.1,4.0554e+05,1.8053e+06,953.68
0.013008,-0.0076719,0,953.55,0.093806,947.38,0.06,0.059692,0.089918,0.093753,0.097392,0.1,4.0553e+05,1.8053e+06,953.55
-0.027438,0.023978,0,959.26,0.093931,953.9,0.06,0.040866,0.088821,0.094356,0.098027,0.1,4.0562e+05,1.8053e+06,959.26
-0.01159,-0.0044891,0,959.21,0.094258,953.72,0.06,0.044445,0.089463,0.094678,0.098098,0.1,4.0563e+05,1.8053e+06,959.21
-0.01159,-0.0044891,0,958.41,0.094258,954.12,0.06,0.044445,0.089463,0.094678,0.098098,0.1,4.0567e+05,1.8053e+06,958.41
-0.00021006,0.00081922,0,955.06,0.094717,942.25,0.06,0.081894,0.092708,0.095777,0.098536,0.1,4.0568e+05,1.8053e+06,955.06
-0.0024603,-0.0011432,0,955.19,0.094713,942.44,0.06,0.081006,0.092639,0.095756,0.098529,0.1,4.0568e+05,1.8053e+06,955.19
-0.011876,0.0048112,0,953.51,0.098435,951.19,0.06,0.085625,0.096503,0.098346,0.099406,0.1,4.0613e+05,1.8053e+06,953.51
-0.011876,0.0048112,0,954.42,0.098435,951.69,0.06,0.085625,0.096503,0.098346,0.099406,0.1,4.0608e+05,1.8053e+06,954.42
-0.01234,0.002157,0,952.86,0.098061,951.52,0.06,0.082111,0.095577,0.09794,0.099281,0.1,4.0618e+05,1.8053e+06,952.86
-0.01234,0.002157,0,953.44,0.098061,951.15,0.06,0.082111,0.095577,0.09794,0.099281,0.1,4.0614e+05,1.8053e+06,953.44
-0.01313,0.0042809,0,953.49,0.098271,951.23,0.06,0.084081,0.096096,0.098168,0.099351,0.1,4.0613e+05,1.8053e+06,953.49
-0.0074603,0.0023886,0,952.43,0.097387,950.54,0.06,0.077299,0.093873,0.097141,0.098961,0.1,4.0623e+05,1.8053e+06,952.43
-0.0074603,0.0023886,0,952.7,0.097387,951.26,0.06,0.077299,0.093873,0.097141,0.098961,0.1,4.0619e+05,1.8053e+06,952.7
-0.006162,0.0031358,0,952.85,0.097768,951.49,0.06,0.080019,0.094836,0.097593,0.099142,0.1,4.0618e+05,1.8053e+06,952.85
-0.0032894,0.0021411,0,951.18,0.098742,948.68,0.06,0.08984,0.097062,0.098656,0.099441,0.1,4.0628e+05,1.8053e+06,951.18
-0.0032894,0.0021411,0,952.41,0.098742,950.85,0.06,0.08984,0.097062,0.098656,0.099441,0.1,4.0623e+05,1.8053e+06,952.41
-0.0021452,0.00085532,0,952.51,0.098327,950.84,0.06,0.085994,0.096084,0.098191,0.099294,0.1,4.0623e+05,1.8053e+06,952.51
-0.0016056,0.0005658,0,947.98,0.099248,946.47,0.06,0.09397,0.098198,0.099174,0.099679,0.1,4.0633e+05,1.8053e+06,947.98
-0.0016056,0.0005658,0,951.13,0.099248,948.75,0.06,0.09397,0.098198,0.099174,0.099679,0.1,4.0628e+05,1.8053e+06,951.13
-0.0016958,0.00072482,0,951.22,0.099059,948.76,0.06,0.092427,0.097773,0.09898,0.09959,0.1,4.0628e+05,1.8053e+06,951.22
-0.0090141,-0.0012335,0,946.03,0.096929,943.63,0.06,0.08801,0.092208,0.095526,0.098083,0.1,4.0638e+05,1.8053e+06,946.03
-0.0090141,-0.0012335,0,946.28,0.096929,943.72,0.06,0.08801,0.092208,0.095526,0.098083,0.1,4.0637e+05,1.8053e+06,946.28
-0.0090141,-0.0012335,0,946.06,0.096929,943.61,0.06,0.08801,0.092208,0.095526,0.098083,0.1,4.0639e+05,1.8053e+06,946.06
-5.0755e-05,-0.00037933,0,946.06,0.096929,943.56,0.06,0.08801,0.092208,0.095526,0.098083,0.1,4.0639e+05,1.8053e+06,946.06
-5.0755e-05,-0.00037933,0,946.06,0.096929,943.57,0.06,0.08801,0.092208,0.095526,0.098083,0.1,4.0639e+05,1.8053e+06,946.06
0.001619,0.00091103,0,942.34,0.081206,942.06,0.06,0.043162,0.057802,0.073668,0.087951,0.1,4.0848e+05,1.8053e+06,942.34
0.001619,0.00091103,0,942.61,0.081206,942.13,0.06,0.043162,0.057802,0.073668,0.087951,0.1,4.0844e+05,1.8053e+06,942.61
-9.6785e-05,-0.00031315,0,943.27,0.026097,942.36,0.055,0,0.0087459,0.020515,0.031095,0.1,4.0907e+05,1.8053e+06,943.27
0.00058137,0.00034759,0,943.19,0.0068566,942.31,0.055,0,0,0,0.018761,0.1,4.0908e+05,1.8053e+06,943.19
-0.0075962,0.00077474,0,951.54,0.097878,950.55,0.06,0.077117,0.096762,0.09836,0.099397,0.1,4.0528e+05,1.8053e+06,951.54
-0.0075962,0.00077474,0,950.63,0.097878,949.55,0.06,0.077117,0.096762,0.09836,0.099397,0.1,4.0523e+05,1.8052e+06,950.63
-0.0090595,-0.0050414,0,950.62,0.096889,949.4,0.06,0.066383,0.095312,0.097611,0.099119,0.1,4.0523e+05,1.8052e+06,950.62
-0.0075962,0.00077474,0,951.87,0.097878,950.5,0.06,0.077117,0.096762,0.09836,0.099397,0.1,4.0533e+05,1.8053e+06,951.87
-0.0030361,-0.0015543,0,951.85,0.096878,950.34,0.06,0.066652,0.095236,0.097562,0.0991,0.1,4.0533e+05,1.8053e+06,951.85
-0.0030361,-0.0015543,0,952.13,0.096878,949.99,0.06,0.066652,0.095236,0.097562,0.0991,0.1,4.0538e+05,1.8053e+06,952.13
-0.002503,-0.0012814,0,951.55,0.097078,945.44,0.06,0.071976,0.095658,0.097715,0.099141,0.1,4.0538e+05,1.8052e+06,951.55
-0.00027119,0.00092351,0,951.48,0.097094,945.17,0.06,0.072404,0.095692,0.097727,0.099145,0.1,4.0538e+05,1.8052e+06,951.48
